# Region type : patch outlet
# Faces       : 20
# Area        : 5.000000e-06
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
0.000311517   	0.000000e+00
0.0022388     	-3.318535e-227
0.00883129    	7.772764e-99
0.0130845     	4.246313e-92
0.0163341     	3.778990e-89
0.0191355     	-4.059779e-85
0.0216724     	-2.046339e-82
0.0240376     	-1.054712e-78
0.0262728     	3.242150e-75
0.0284003     	-7.077355e-72
0.030369      	2.439893e-68
0.0322125     	-3.237969e-66
0.0339639     	-5.581205e-62
0.035645      	5.984400e-59
0.0372799     	-2.305236e-56
0.0388678     	9.701997e-55
0.040404      	1.882525e-51
0.0419108     	-7.313092e-49
0.0433721     	1.229576e-46
0.0447978     	-1.346781e-44
0.0461878     	1.074891e-42
0.0475606     	-5.953897e-41
0.0488903     	2.317254e-39
0.0501804     	-7.225981e-38
0.0514332     	1.902817e-36
0.0526541     	-3.318399e-35
0.0538454     	2.919662e-34
0.0550328     	-5.937674e-34
0.056257      	-7.075767e-33
0.0575571     	4.768643e-32
0.0589577     	-6.099881e-31
0.0604602     	-2.411622e-31
0.062091      	1.942242e-29
0.06388       	5.720476e-29
0.0658879     	4.431856e-29
0.0679729     	-1.990290e-29
0.0700939     	-5.277248e-29
0.0722787     	-6.284959e-29
0.0744739     	-5.183901e-29
0.0766698     	-4.216255e-29
0.0787253     	-7.675069e-29
0.0806056     	-6.406893e-29
0.0824941     	-5.517549e-29
0.0842229     	-4.912351e-29
0.0857154     	-4.482490e-29
0.0871089     	-4.131630e-29
0.0884838     	-3.823860e-29
0.0897919     	-3.564276e-29
0.0910374     	-3.346374e-29
0.0922744     	-3.156845e-29
0.0934905     	-2.995447e-29
0.0946549     	-2.863644e-29
0.0957496     	-2.761468e-29
0.096763      	-2.687660e-29
0.09773       	-2.638193e-29
0.0986881     	-2.611974e-29
0.0996664     	-2.611789e-29
0.10064       	-2.641463e-29
0.101566      	-2.699996e-29
0.102476      	-2.788210e-29
0.103352      	-2.902737e-29
0.104209      	-3.042745e-29
0.105089      	-3.214661e-29
0.105998      	-3.262353e-29
0.10691       	-3.463715e-29
0.107831      	-3.679813e-29
0.108774      	-3.875173e-29
0.109711      	-3.961820e-29
0.11062       	-3.870767e-29
0.111562      	-3.764269e-29
0.112594      	-4.807390e-29
0.113732      	-1.074705e-28
0.114849      	-2.292464e-28
0.115966      	-2.557001e-28
0.11714       	4.071685e-28
0.118333      	2.547188e-27
0.119611      	5.103038e-27
0.121078      	-2.220594e-27
0.122654      	-3.933995e-26
0.124321      	-7.278577e-26
0.126213      	9.859917e-26
0.128493      	1.163867e-24
0.130822      	-1.308139e-23
0.133043      	5.027980e-23
0.135203      	7.604635e-22
0.137391      	-2.501325e-21
0.139619      	-2.703510e-20
0.141619      	-1.641613e-20
0.143279      	-6.906034e-19
0.144601      	-2.374564e-18
0.145761      	9.935280e-17
0.146836      	-6.167082e-17
0.147865      	-4.739536e-15
0.148862      	-3.635771e-15
0.149853      	6.663742e-13
0.150883      	2.820494e-12
0.151978      	-4.119237e-12
0.153098      	-9.512644e-11
0.154177      	2.905530e-09
0.155227      	4.203526e-08
0.15629       	1.487420e-07
0.157284      	2.896131e-07
0.158207      	3.666104e-07
0.159088      	2.632295e-07
0.159942      	3.098398e-09
0.16079       	1.738504e-06
0.161646      	2.827275e-05
0.162524      	1.155116e-04
0.163386      	2.905154e-04
0.164236      	5.672405e-04
0.165088      	9.310096e-04
0.165934      	1.311725e-03
0.166755      	1.627259e-03
0.167581      	1.864238e-03
0.168422      	2.037426e-03
0.169293      	2.168334e-03
0.170171      	2.283813e-03
0.171048      	2.426359e-03
0.171968      	2.617372e-03
0.172914      	2.865273e-03
0.173877      	3.206884e-03
0.174867      	3.711496e-03
0.175837      	4.509431e-03
0.17681       	5.804510e-03
0.177813      	7.783735e-03
0.178904      	9.514091e-03
0.180092      	9.038710e-03
0.181326      	6.979727e-03
0.182562      	4.831604e-03
0.183882      	3.192765e-03
0.185311      	2.079271e-03
0.186804      	1.392824e-03
0.188431      	9.616039e-04
0.190227      	6.481889e-04
0.192036      	4.475103e-04
0.193866      	3.146200e-04
0.195783      	2.263677e-04
0.197837      	1.678539e-04
0.2           	1.266696e-04
0.202132      	9.628431e-05
0.204292      	7.224775e-05
0.206117      	5.679787e-05
0.207863      	4.579412e-05
0.20936       	3.860668e-05
0.210664      	3.365061e-05
0.211873      	2.991187e-05
0.213046      	2.691679e-05
0.214248      	2.437259e-05
